Using brute force collision detection.
         33958108 function calls (33954601 primitive calls) in 51.181 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      101    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap>:1999(find_loader)
        1    0.000    0.000    0.012    0.012 utils.py:5(<module>)
     2846    0.004    0.000    0.010    0.000 <frozen importlib._bootstrap>:50(_path_join)
       58    0.000    0.000    0.010    0.000 sre_compile.py:445(_code)
        1    0.002    0.002    0.009    0.009 model.py:18(__init__)
       11    0.000    0.000    0.009    0.001 __init__.py:297(namedtuple)
     1109    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:68(_path_stat)
        1    0.000    0.000    0.008    0.008 pkg_resources.py:435(_build_master)
        1    0.000    0.000    0.008    0.008 pkg_resources.py:422(__init__)
        1    0.000    0.000    0.007    0.007 tempfile.py:16(<module>)
        1    0.000    0.000    0.007    0.007 case.py:1(<module>)
       95    0.007    0.000    0.007    0.000 {method 'tick' of 'Clock' objects}
      204    0.001    0.000    0.006    0.000 pkg_resources.py:2294(from_location)
        1    0.000    0.000    0.006    0.006 numeric.py:1(<module>)
        1    0.000    0.000    0.006    0.006 random.py:37(<module>)
      159    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap>:1621(get_data)
      300    0.001    0.000    0.006    0.000 model.py:7(__init__)
   365/58    0.002    0.000    0.006    0.000 sre_compile.py:33(_compile)
      159    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:1099(create)
        1    0.000    0.000    0.006    0.006 zipfile.py:5(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:15(<module>)
     2846    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:52(<listcomp>)
        1    0.000    0.000    0.005    0.005 __init__.py:9(<module>)
     2248    0.001    0.000    0.005    0.000 sre_parse.py:220(get)
     2690    0.004    0.000    0.005    0.000 sre_parse.py:195(__next)
      159    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:1019(init_module_attrs)
        1    0.000    0.000    0.004    0.004 __init__.py:38(<module>)
      511    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:78(_path_is_mode_type)
        1    0.000    0.000    0.004    0.004 hashlib.py:53(<module>)
      462    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:87(_path_isfile)
      100    0.002    0.000    0.004    0.000 pkg_resources.py:2494(insert_on)
        1    0.000    0.000    0.004    0.004 index_tricks.py:1(<module>)
       58    0.000    0.000    0.004    0.000 sre_compile.py:341(_compile_info)
      223    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:261(__enter__)
        5    0.001    0.000    0.004    0.001 enum.py:88(__new__)
        1    0.000    0.000    0.003    0.003 ctypeslib.py:51(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:24(<module>)
        1    0.000    0.000    0.003    0.003 subprocess.py:345(<module>)
      318    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:437(cache_from_source)
       95    0.003    0.000    0.003    0.000 {built-in method get}
      204    0.001    0.000    0.003    0.000 pkg_resources.py:2282(__init__)
      159    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:599(_validate_bytecode_header)
        1    0.000    0.000    0.003    0.003 traceback.py:1(<module>)
  522/215    0.003    0.000    0.003    0.000 sre_parse.py:152(getwidth)
        1    0.000    0.000    0.003    0.003 socket.py:45(<module>)
        1    0.000    0.000    0.003    0.003 linecache.py:6(<module>)
      159    0.003    0.000    0.003    0.000 {method 'read' of '_io.FileIO' objects}
      363    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:293(_lock_unlock_module)
      586    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:274(_get_module_lock)
        1    0.000    0.000    0.002    0.002 polynomial.py:4(<module>)
      318    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:824(cached)
        1    0.000    0.000    0.002    0.002 parse.py:28(<module>)
      204    0.001    0.000    0.002    0.000 pkg_resources.py:553(add)
        1    0.000    0.000    0.002    0.002 enum.py:1(<module>)
        1    0.000    0.000    0.002    0.002 string.py:15(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:88(<module>)
        1    0.000    0.000    0.002    0.002 _internal.py:6(<module>)
        1    0.000    0.000    0.002    0.002 polynomial.py:55(<module>)
        1    0.000    0.000    0.002    0.002 string.py:61(__init__)
        1    0.000    0.000    0.002    0.002 datetime.py:5(<module>)
       80    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x9ceec0}
        1    0.000    0.000    0.002    0.002 tokenize.py:21(<module>)
     2619    0.002    0.000    0.002    0.000 {built-in method hasattr}
      202    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:2011(_get_spec)
        1    0.000    0.000    0.002    0.002 _policybase.py:4(<module>)
     4713    0.002    0.000    0.002    0.000 {built-in method isinstance}
        1    0.000    0.000    0.002    0.002 numerictypes.py:82(<module>)
       33    0.002    0.000    0.002    0.000 {built-in method listdir}
      137    0.000    0.000    0.002    0.000 sre_compile.py:172(_compile_charset)
      300    0.000    0.000    0.002    0.000 random.py:214(randint)
        1    0.000    0.000    0.002    0.002 lzma.py:9(<module>)
      408    0.000    0.000    0.002    0.000 re.py:168(sub)
     2397    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
      274    0.001    0.000    0.002    0.000 function_base.py:3251(add_newdoc)
        3    0.000    0.000    0.002    0.001 enum.py:196(__call__)
        1    0.000    0.000    0.002    0.002 pickle.py:24(<module>)
       82    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:2322(__import__)
        1    0.000    0.000    0.002    0.002 core.py:21(<module>)
        3    0.000    0.000    0.002    0.001 enum.py:295(_create_)
        1    0.000    0.000    0.002    0.002 selectors.py:5(<module>)
      218    0.000    0.000    0.002    0.000 genericpath.py:39(isdir)
        2    0.000    0.000    0.002    0.001 function_base.py:1(<module>)
     1475    0.001    0.000    0.002    0.000 sre_parse.py:142(__getitem__)
      300    0.001    0.000    0.002    0.000 random.py:170(randrange)
      586    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:192(acquire)
      164    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:2240(_gcd_import)
       17    0.000    0.000    0.002    0.000 abc.py:132(__new__)
     6142    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.002    0.002 npyio.py:1(<module>)
      338    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1870(_path_importer_cache)
      417    0.001    0.000    0.002    0.000 posixpath.py:70(join)
     3257    0.001    0.000    0.002    0.000 {method 'join' of 'str' objects}
      137    0.001    0.000    0.002    0.000 sre_compile.py:201(_optimize_charset)
        1    0.000    0.000    0.001    0.001 charset.py:6(<module>)
     2748    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:518(_verbose_message)
      204    0.000    0.000    0.001    0.000 pkg_resources.py:1154(safe_name)
      121    0.001    0.000    0.001    0.000 posixpath.py:145(dirname)
     2365    0.001    0.000    0.001    0.000 {built-in method getattr}
      604    0.001    0.000    0.001    0.000 pkg_resources.py:2350(key)
      586    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:217(release)
      202    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:884(spec_from_file_location)
        1    0.000    0.000    0.001    0.001 header.py:5(<module>)
      159    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:739(__exit__)
      159    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1631(path_stats)
      223    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:268(__exit__)
        1    0.000    0.000    0.001    0.001 result.py:1(<module>)
8779/8590    0.001    0.000    0.001    0.000 {built-in method len}
        1    0.000    0.000    0.001    0.001 sprite.py:67(<module>)
        1    0.000    0.000    0.001    0.001 arrayprint.py:5(<module>)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:2061(_fill_cache)
        2    0.000    0.000    0.001    0.001 pkg_resources.py:1982(declare_namespace)
        2    0.000    0.000    0.001    0.001 imp.py:255(find_module)
      600    0.001    0.000    0.001    0.000 random.py:342(uniform)
      204    0.000    0.000    0.001    0.000 pkg_resources.py:1162(safe_version)
      204    0.000    0.000    0.001    0.000 posixpath.py:115(splitext)
     1075    0.000    0.000    0.001    0.000 sre_parse.py:214(match)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:7(<module>)
        1    0.000    0.000    0.001    0.001 queue.py:1(<module>)
      408    0.001    0.000    0.001    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
      300    0.001    0.000    0.001    0.000 random.py:220(_randbelow)
        1    0.000    0.000    0.001    0.001 linalg.py:10(<module>)
        1    0.000    0.000    0.001    0.001 zipfile.py:627(ZipExtFile)
     5711    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      565    0.000    0.000    0.001    0.000 posixpath.py:38(_get_sep)
      220    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1266(find_spec)
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
        1    0.000    0.000    0.001    0.001 sndarray.py:58(<module>)
        6    0.000    0.000    0.001    0.000 _collections_abc.py:581(update)
        1    0.000    0.000    0.001    0.001 _collections_abc.py:573(clear)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1853(_path_hooks)
       66    0.000    0.000    0.001    0.000 pkg_resources.py:1462(_fn)
        1    0.000    0.000    0.001    0.001 tarfile.py:30(<module>)
      307    0.001    0.000    0.001    0.000 pkg_resources.py:2454(__getattr__)
      262    0.000    0.000    0.001    0.000 {built-in method any}
       76    0.000    0.000    0.001    0.000 _collections_abc.py:561(popitem)
        1    0.000    0.000    0.001    0.001 front.py:1(<module>)
      100    0.001    0.000    0.001    0.000 pkg_resources.py:2503(<listcomp>)
        1    0.000    0.000    0.001    0.001 __init__.py:10(<module>)
        3    0.000    0.000    0.001    0.000 warnings.py:29(filterwarnings)
      361    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:56(_path_split)
      232    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:172(__init__)
      306    0.001    0.000    0.001    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.001    0.001 __init__.py:3(<module>)
        1    0.000    0.000    0.001    0.001 pkg_resources.py:1564(MemoizedZipManifests)
        1    0.000    0.000    0.001    0.001 errors.py:5(<module>)
      204    0.000    0.000    0.001    0.000 genericpath.py:111(_splitext)
        1    0.000    0.000    0.001    0.001 loader.py:1(<module>)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:2102(path_hook_for_FileFinder)
      614    0.000    0.000    0.001    0.000 pkg_resources.py:2054(_normalize_cached)
        1    0.000    0.000    0.001    0.001 random.py:84(__init__)
        1    0.000    0.000    0.001    0.001 random.py:93(seed)
       40    0.000    0.000    0.001    0.000 core.py:109(get_object_signature)
     2406    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
