Using brute force collision detection.
         33958108 function calls (33954601 primitive calls) in 51.181 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      425    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 pkg_resources.py:941(resource_exists)
       76    0.000    0.000    0.000    0.000 {built-in method putenv}
      116    0.000    0.000    0.000    0.000 sre_compile.py:442(isstring)
        3    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        5    0.000    0.000    0.000    0.000 enum.py:387(_find_new_)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:957(resource_stream)
       18    0.000    0.000    0.000    0.000 sre_compile.py:304(<listcomp>)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
        9    0.000    0.000    0.000    0.000 functools.py:43(update_wrapper)
        1    0.000    0.000    0.000    0.000 chebyshev.py:87(<module>)
        1    0.000    0.000    0.000    0.000 hermite.py:59(<module>)
       58    0.000    0.000    0.000    0.000 sre_parse.py:738(fix_flags)
        1    0.000    0.000    0.000    0.000 symbol.py:3(<module>)
        8    0.000    0.000    0.000    0.000 core.py:7290(getdoc)
      300    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       41    0.000    0.000    0.000    0.000 enum.py:8(_is_descriptor)
       58    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
        1    0.000    0.000    0.000    0.000 laguerre.py:59(<module>)
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
      124    0.000    0.000    0.000    0.000 pkg_resources.py:1825(__init__)
        1    0.000    0.000    0.000    0.000 hermite_e.py:59(<module>)
       39    0.000    0.000    0.000    0.000 __init__.py:58(__setitem__)
       75    0.000    0.000    0.000    0.000 {built-in method unsetenv}
      232    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:288(cb)
        1    0.000    0.000    0.000    0.000 numerictypes.py:289(_add_types)
        1    0.000    0.000    0.000    0.000 calendar.py:47(_localized_month)
        4    0.000    0.000    0.000    0.000 contextlib.py:96(contextmanager)
       20    0.000    0.000    0.000    0.000 posixpath.py:158(islink)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1729(<genexpr>)
       23    0.000    0.000    0.000    0.000 {built-in method calcsize}
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:35(<module>)
       52    0.000    0.000    0.000    0.000 __init__.py:360(<genexpr>)
       26    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
      533    0.000    0.000    0.000    0.000 {built-in method ord}
       18    0.000    0.000    0.000    0.000 core.py:908(__init__)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        1    0.000    0.000    0.000    0.000 numerictypes.py:117(<listcomp>)
        2    0.000    0.000    0.000    0.000 pkg_resources.py:1484(_setup_prefix)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
        1    0.000    0.000    0.000    0.000 collision.py:1(<module>)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:8(<module>)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:778(Environment)
       58    0.000    0.000    0.000    0.000 enum.py:16(_is_dunder)
      191    0.000    0.000    0.000    0.000 {built-in method getlower}
        3    0.000    0.000    0.000    0.000 __init__.py:479(PYFUNCTYPE)
        6    0.000    0.000    0.000    0.000 posixpath.py:355(abspath)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
       54    0.000    0.000    0.000    0.000 {built-in method repr}
       16    0.000    0.000    0.000    0.000 pkg_resources.py:2818(_find_adapter)
        9    0.000    0.000    0.000    0.000 {built-in method round}
      228    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:148(<genexpr>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
       72    0.000    0.000    0.000    0.000 numerictypes.py:131(english_lower)
      157    0.000    0.000    0.000    0.000 sre_parse.py:146(__setitem__)
       14    0.000    0.000    0.000    0.000 {built-in method access}
        3    0.000    0.000    0.000    0.000 datetime.py:1300(__new__)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:129(get_supported_platform)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
        6    0.000    0.000    0.000    0.000 _collections_abc.py:429(__contains__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:459(_set_array_types)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
      112    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       80    0.000    0.000    0.000    0.000 pkg_resources.py:1788(__init__)
       20    0.000    0.000    0.000    0.000 {built-in method lstat}
      100    0.000    0.000    0.000    0.000 pkg_resources.py:760(_added_new)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:2869(_initialize)
       23    0.000    0.000    0.000    0.000 numerictypes.py:220(_evalname)
        1    0.000    0.000    0.000    0.000 result.py:24(TestResult)
        1    0.000    0.000    0.000    0.000 case.py:316(TestCase)
      300    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
       99    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
      649    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 pkg_resources.py:256(get_build_platform)
       14    0.000    0.000    0.000    0.000 imp.py:103(get_suffixes)
        5    0.000    0.000    0.000    0.000 datetime.py:646(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:485(__neg__)
       21    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        1    0.000    0.000    0.000    0.000 linalg.py:76(_determine_error_states)
       57    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:144(__enter__)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
      159    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1616(get_filename)
        2    0.000    0.000    0.000    0.000 {built-in method POINTER}
       14    0.000    0.000    0.000    0.000 posixpath.py:99(split)
      171    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1985(<genexpr>)
        4    0.000    0.000    0.000    0.000 result.py:12(failfast)
       74    0.000    0.000    0.000    0.000 _inspect.py:152(strseq)
       39    0.000    0.000    0.000    0.000 _collections_abc.py:441(items)
      159    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:850(has_location)
        1    0.000    0.000    0.000    0.000 datetime.py:978(time)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:303(prep_simple)
        1    0.000    0.000    0.000    0.000 token.py:71(<dictcomp>)
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
        1    0.000    0.000    0.000    0.000 model.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:1290(datetime)
      218    0.000    0.000    0.000    0.000 {built-in method S_ISDIR}
        6    0.000    0.000    0.000    0.000 hashlib.py:98(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 format.py:136(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1194(__init__)
        1    0.000    0.000    0.000    0.000 sysconfig.py:600(get_platform)
        1    0.000    0.000    0.000    0.000 uu.py:31(<module>)
        6    0.000    0.000    0.000    0.000 posixpath.py:318(normpath)
        1    0.000    0.000    0.000    0.000 __init__.py:335(__init__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:788(_construct_lookups)
       38    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
        1    0.000    0.000    0.000    0.000 numeric.py:358(<listcomp>)
        2    0.000    0.000    0.000    0.000 utils.py:113(deprecate)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1510(get_resource_stream)
       28    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
        5    0.000    0.000    0.000    0.000 enum.py:84(__prepare__)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1697(__init__)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
       57    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:141(__init__)
       54    0.000    0.000    0.000    0.000 enum.py:24(_is_sunder)
        1    0.000    0.000    0.000    0.000 _version.py:7(<module>)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f751ef5dae8}
       40    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
        5    0.000    0.000    0.000    0.000 getlimits.py:244(__init__)
       14    0.000    0.000    0.000    0.000 py3k.py:28(asbytes)
       21    0.000    0.000    0.000    0.000 {built-in method empty}
       43    0.000    0.000    0.000    0.000 _inspect.py:163(<lambda>)
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:422(get)
        2    0.000    0.000    0.000    0.000 datetime.py:1002(__new__)
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
        1    0.000    0.000    0.000    0.000 lzma.py:38(LZMAFile)
       40    0.000    0.000    0.000    0.000 numerictypes.py:158(english_upper)
        6    0.000    0.000    0.000    0.000 pkg_resources.py:2069(yield_lines)
       91    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 sre_compile.py:320(_generate_overlap_table)
        6    0.000    0.000    0.000    0.000 core.py:1054(__init__)
        1    0.000    0.000    0.000    0.000 os.py:44(<listcomp>)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
      147    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 zipfile.py:880(ZipFile)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:16(<module>)
       21    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        9    0.000    0.000    0.000    0.000 core.py:2428(__init__)
        5    0.000    0.000    0.000    0.000 enum.py:342(_get_mixins_)
        1    0.000    0.000    0.000    0.000 pickle.py:974(_Unpickler)
       30    0.000    0.000    0.000    0.000 numerictypes.py:451(_add_array_type)
       76    0.000    0.000    0.000    0.000 {built-in method iter}
        1    0.000    0.000    0.000    0.000 financial.py:10(<module>)
       45    0.000    0.000    0.000    0.000 sre_compile.py:52(fixup)
        3    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
       63    0.000    0.000    0.000    0.000 abc.py:9(abstractmethod)
        4    0.000    0.000    0.000    0.000 pkg_resources.py:96(_declare_state)
        1    0.000    0.000    0.000    0.000 polynomial.py:1493(Polynomial)
       18    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      364    0.000    0.000    0.000    0.000 {built-in method globals}
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1604(ZipProvider)
        1    0.000    0.000    0.000    0.000 datetime.py:283(timedelta)
        1    0.000    0.000    0.000    0.000 defchararray.py:1668(chararray)
        1    0.000    0.000    0.000    0.000 <string>:5(usage)
        1    0.000    0.000    0.000    0.000 numerictypes.py:346(_add_integer_aliases)
      342    0.000    0.000    0.000    0.000 sre_compile.py:25(_identityfunction)
        1    0.000    0.000    0.000    0.000 enum.py:510(IntEnum)
        1    0.000    0.000    0.000    0.000 __init__.py:1049(__init__)
        1    0.000    0.000    0.000    0.000 <string>:5(uname_result)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
       43    0.000    0.000    0.000    0.000 _collections_abc.py:462(__init__)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        1    0.000    0.000    0.000    0.000 sysfont.py:21(<module>)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1395(has_resource)
        1    0.000    0.000    0.000    0.000 __init__.py:759(__init__)
        5    0.000    0.000    0.000    0.000 enum.py:47(__init__)
        1    0.000    0.000    0.000    0.000 _numpysndarray.py:34(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:616(date)
        1    0.000    0.000    0.000    0.000 case.py:43(_Outcome)
       30    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 random.py:68(Random)
        1    0.000    0.000    0.000    0.000 arraysetops.py:26(<module>)
        5    0.000    0.000    0.000    0.000 datetime.py:252(_check_date_fields)
        1    0.000    0.000    0.000    0.000 argparse.py:153(HelpFormatter)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:2278(Distribution)
        2    0.000    0.000    0.000    0.000 utils.py:69(__call__)
        1    0.000    0.000    0.000    0.000 <string>:5(SelectorKey)
        1    0.000    0.000    0.000    0.000 tempfile.py:645(SpooledTemporaryFile)
        2    0.000    0.000    0.000    0.000 pkg_resources.py:1382(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:761(__init__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:436(_construct_char_code_lookup)
       52    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        4    0.000    0.000    0.000    0.000 enum.py:241(__getattr__)
        1    0.000    0.000    0.000    0.000 _iotools.py:468(StringConverter)
       40    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
       12    0.000    0.000    0.000    0.000 posixpath.py:60(isabs)
        1    0.000    0.000    0.000    0.000 __init__.py:83(__init__)
        1    0.000    0.000    0.000    0.000 subprocess.py:742(Popen)
        1    0.000    0.000    0.000    0.000 ufunclike.py:5(<module>)
        2    0.000    0.000    0.000    0.000 charset.py:211(__init__)
        9    0.000    0.000    0.000    0.000 core.py:2434(getdoc)
        1    0.000    0.000    0.000    0.000 compat.py:2(<module>)
        4    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
       45    0.000    0.000    0.000    0.000 {built-in method divmod}
        1    0.000    0.000    0.000    0.000 numerictypes.py:387(_set_up_aliases)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1375(NullProvider)
       16    0.000    0.000    0.000    0.000 pkg_resources.py:2811(_get_mro)
        2    0.000    0.000    0.000    0.000 numeric.py:2428(seterr)
       32    0.000    0.000    0.000    0.000 {built-in method _getframe}
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1189(MarkerEvaluation)
        1    0.000    0.000    0.000    0.000 numbers.py:32(Complex)
       80    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        5    0.000    0.000    0.000    0.000 enum.py:99(<dictcomp>)
       19    0.000    0.000    0.000    0.000 tokenize.py:110(group)
       14    0.000    0.000    0.000    0.000 numerictypes.py:185(english_capitalize)
        1    0.000    0.000    0.000    0.000 plistlib.py:312(_PlistParser)
        1    0.000    0.000    0.000    0.000 enum.py:82(EnumMeta)
        1    0.000    0.000    0.000    0.000 functools.py:406(decorating_function)
        1    0.000    0.000    0.000    0.000 numeric.py:2813(__enter__)
        8    0.000    0.000    0.000    0.000 functools.py:73(wraps)
        1    0.000    0.000    0.000    0.000 tarfile.py:718(TarInfo)
        1    0.000    0.000    0.000    0.000 encoders.py:5(<module>)
       81    0.000    0.000    0.000    0.000 {built-in method abs}
        1    0.000    0.000    0.000    0.000 argparse.py:1055(_SubParsersAction)
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
        1    0.000    0.000    0.000    0.000 bz2.py:33(BZ2File)
        2    0.000    0.000    0.000    0.000 types.py:115(__init__)
        1    0.000    0.000    0.000    0.000 numeric.py:2824(_setdef)
        1    0.000    0.000    0.000    0.000 message.py:945(MIMEPart)
        1    0.000    0.000    0.000    0.000 _inspect.py:7(<module>)
        1    0.000    0.000    0.000    0.000 socket.py:112(socket)
       31    0.000    0.000    0.000    0.000 _inspect.py:39(iscode)
        3    0.000    0.000    0.000    0.000 {built-in method seterrobj}
        1    0.000    0.000    0.000    0.000 threading.py:742(Thread)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:437(keys)
        1    0.000    0.000    0.000    0.000 _internal.py:196(_getintp_ctype)
        1    0.000    0.000    0.000    0.000 tarfile.py:1375(TarFile)
        1    0.000    0.000    0.000    0.000 py3k.py:4(<module>)
       21    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:740(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 pickle.py:348(_Pickler)
        1    0.000    0.000    0.000    0.000 warnings.py:58(simplefilter)
        1    0.000    0.000    0.000    0.000 <string>:5(ParseResult)
        1    0.000    0.000    0.000    0.000 weakref.py:101(__init__)
        1    0.000    0.000    0.000    0.000 info.py:83(<module>)
        1    0.000    0.000    0.000    0.000 selectors.py:70(BaseSelector)
       44    0.000    0.000    0.000    0.000 {built-in method proxy}
        1    0.000    0.000    0.000    0.000 <string>:5(TokenInfo)
        1    0.000    0.000    0.000    0.000 info.py:147(<module>)
        1    0.000    0.000    0.000    0.000 quopri.py:3(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:570(Barrier)
        1    0.000    0.000    0.000    0.000 _internal.py:224(_ctypes)
        1    0.000    0.000    0.000    0.000 defmatrix.py:206(matrix)
        1    0.000    0.000    0.000    0.000 sprite.py:557(RenderUpdates)
        1    0.000    0.000    0.000    0.000 datetime.py:909(tzinfo)
       39    0.000    0.000    0.000    0.000 pkg_resources.py:1791(has_metadata)
        1    0.000    0.000    0.000    0.000 decorators.py:15(<module>)
        5    0.000    0.000    0.000    0.000 datetime.py:263(_check_time_fields)
        1    0.000    0.000    0.000    0.000 hermite.py:1750(Hermite)
        1    0.000    0.000    0.000    0.000 <string>:5(Mismatch)
        1    0.000    0.000    0.000    0.000 threading.py:507(set)
       20    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
        1    0.000    0.000    0.000    0.000 <string>:5(SplitResult)
        1    0.000    0.000    0.000    0.000 <string>:5(Match)
        1    0.000    0.000    0.000    0.000 numeric.py:2809(__init__)
       14    0.000    0.000    0.000    0.000 imp.py:105(<listcomp>)
        1    0.000    0.000    0.000    0.000 iterators.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _import_tools.py:8(PackageLoader)
        1    0.000    0.000    0.000    0.000 numbers.py:299(Integral)
        1    0.000    0.000    0.000    0.000 <string>:5(DefragResult)
       21    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
        1    0.000    0.000    0.000    0.000 <string>:5(_LoggingWatcher)
        1    0.000    0.000    0.000    0.000 numbers.py:152(Real)
        1    0.000    0.000    0.000    0.000 _policybase.py:112(Policy)
        1    0.000    0.000    0.000    0.000 <string>:5(manifest_mod)
        1    0.000    0.000    0.000    0.000 threading.py:493(__init__)
       10    0.000    0.000    0.000    0.000 _policybase.py:104(<genexpr>)
        1    0.000    0.000    0.000    0.000 core.py:5827(MaskedConstant)
        1    0.000    0.000    0.000    0.000 chebyshev.py:2017(Chebyshev)
        7    0.000    0.000    0.000    0.000 posixpath.py:49(normcase)
       39    0.000    0.000    0.000    0.000 {built-in method max}
        1    0.000    0.000    0.000    0.000 legendre.py:1770(Legendre)
        4    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.000    0.000 core.py:5833(__new__)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:934(ResourceManager)
        1    0.000    0.000    0.000    0.000 laguerre.py:1742(Laguerre)
        1    0.000    0.000    0.000    0.000 polynomial.py:933(poly1d)
        1    0.000    0.000    0.000    0.000 {built-in method print}
        2    0.000    0.000    0.000    0.000 enum.py:486(__hash__)
        1    0.000    0.000    0.000    0.000 sprite.py:613(LayeredUpdates)
        1    0.000    0.000    0.000    0.000 compat.py:13(geterror)
       50    0.000    0.000    0.000    0.000 {built-in method sizeof}
        8    0.000    0.000    0.000    0.000 __future__.py:77(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:210(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:49(<listcomp>)
        4    0.000    0.000    0.000    0.000 core.py:92(doc_note)
        1    0.000    0.000    0.000    0.000 {built-in method time}
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:248(NameValidator)
        1    0.000    0.000    0.000    0.000 main.py:48(TestProgram)
        1    0.000    0.000    0.000    0.000 threading.py:352(notify_all)
        1    0.000    0.000    0.000    0.000 {built-in method exp}
        1    0.000    0.000    0.000    0.000 extras.py:1546(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:66(_localized_day)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:367(IMetadataProvider)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1747(HermiteE)
        1    0.000    0.000    0.000    0.000 weakref.py:312(__init__)
        3    0.000    0.000    0.000    0.000 datetime.py:40(_days_before_year)
        1    0.000    0.000    0.000    0.000 info.py:34(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:750(Handler)
        3    0.000    0.000    0.000    0.000 datetime.py:1832(_create)
        1    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:1584(ArgumentParser)
        1    0.000    0.000    0.000    0.000 {built-in method dlopen}
        1    0.000    0.000    0.000    0.000 info.py:176(<module>)
        1    0.000    0.000    0.000    0.000 {method 'union' of 'set' objects}
       10    0.000    0.000    0.000    0.000 _collections_abc.py:135(__subclasshook__)
        1    0.000    0.000    0.000    0.000 utils.py:998(SafeEval)
        1    0.000    0.000    0.000    0.000 {built-in method uname}
        1    0.000    0.000    0.000    0.000 zipfile.py:291(ZipInfo)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1311(is_package)
        1    0.000    0.000    0.000    0.000 core.py:5631(mvoid)
        1    0.000    0.000    0.000    0.000 re.py:235(escape)
        1    0.000    0.000    0.000    0.000 {built-in method sysconf}
        3    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
        2    0.000    0.000    0.000    0.000 numeric.py:1717(set_string_function)
        2    0.000    0.000    0.000    0.000 numeric.py:2524(geterr)
        1    0.000    0.000    0.000    0.000 selectors.py:278(SelectSelector)
        1    0.000    0.000    0.000    0.000 info.py:84(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:152(LineSplitter)
       52    0.000    0.000    0.000    0.000 _compat_pickle.py:136(<genexpr>)
        3    0.000    0.000    0.000    0.000 index_tricks.py:242(__init__)
        1    0.000    0.000    0.000    0.000 extras.py:1476(__init__)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:2163(EntryPoint)
        1    0.000    0.000    0.000    0.000 socket.py:328(SocketIO)
        1    0.000    0.000    0.000    0.000 numeric.py:2818(__exit__)
        1    0.000    0.000    0.000    0.000 warnings.py:332(__enter__)
       59    0.000    0.000    0.000    0.000 _compat_pickle.py:137(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:1542(__init__)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:203(AddrlistClass)
        3    0.000    0.000    0.000    0.000 enum.py:266(__members__)
        1    0.000    0.000    0.000    0.000 sprite.py:106(Sprite)
        1    0.000    0.000    0.000    0.000 tempfile.py:793(TemporaryDirectory)
        1    0.000    0.000    0.000    0.000 threading.py:88(_RLock)
        1    0.000    0.000    0.000    0.000 npyio.py:133(NpzFile)
        2    0.000    0.000    0.000    0.000 getlimits.py:269(max)
        1    0.000    0.000    0.000    0.000 __init__.py:1219(Logger)
       20    0.000    0.000    0.000    0.000 {built-in method S_ISLNK}
        1    0.000    0.000    0.000    0.000 _datasource.py:154(DataSource)
        1    0.000    0.000    0.000    0.000 parse.py:131(_NetlocResultMixinBase)
        1    0.000    0.000    0.000    0.000 tempfile.py:224(_RandomNameSequence)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:150(_ndptr)
        9    0.000    0.000    0.000    0.000 enum.py:132(<genexpr>)
        1    0.000    0.000    0.000    0.000 zipfile.py:447(_ZipDecrypter)
        1    0.000    0.000    0.000    0.000 posixpath.py:136(basename)
        1    0.000    0.000    0.000    0.000 argparse.py:1223(_ActionsContainer)
       14    0.000    0.000    0.000    0.000 imp.py:106(<listcomp>)
        1    0.000    0.000    0.000    0.000 tarfile.py:326(_Stream)
        1    0.000    0.000    0.000    0.000 sprite.py:948(LayeredDirty)
        1    0.000    0.000    0.000    0.000 threading.py:897(_set_tstate_lock)
        1    0.000    0.000    0.000    0.000 plistlib.py:746(_BinaryPlistWriter)
        5    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:1550(LoggerAdapter)
        5    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.000    0.000 core.py:889(_MaskedBinaryOperation)
        1    0.000    0.000    0.000    0.000 feedparser.py:44(BufferedSubFile)
        1    0.000    0.000    0.000    0.000 plistlib.py:127(Plist)
        1    0.000    0.000    0.000    0.000 header.py:416(_ValueFormatter)
        1    0.000    0.000    0.000    0.000 loader.py:51(TestLoader)
        1    0.000    0.000    0.000    0.000 parse.py:273(_fix_result_transcoding)
        1    0.000    0.000    0.000    0.000 sprite.py:221(DirtySprite)
        1    0.000    0.000    0.000    0.000 zipfile.py:508(LZMACompressor)
        1    0.000    0.000    0.000    0.000 case.py:1306(FunctionTestCase)
        1    0.000    0.000    0.000    0.000 feedparser.py:136(FeedParser)
        1    0.000    0.000    0.000    0.000 plistlib.py:454(_PlistWriter)
        1    0.000    0.000    0.000    0.000 {built-in method exit}
        1    0.000    0.000    0.000    0.000 calendar.py:126(Calendar)
        1    0.000    0.000    0.000    0.000 functools.py:370(lru_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:1234(__init__)
        5    0.000    0.000    0.000    0.000 datetime.py:275(_check_tzinfo_arg)
        1    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 tempfile.py:473(_TemporaryFileCloser)
        1    0.000    0.000    0.000    0.000 parser.py:72(HeaderParser)
        1    0.000    0.000    0.000    0.000 threading.py:329(notify)
        1    0.000    0.000    0.000    0.000 calendar.py:69(<listcomp>)
        1    0.000    0.000    0.000    0.000 plistlib.py:204(Data)
        1    0.000    0.000    0.000    0.000 index_tricks.py:447(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:211(_acquireLock)
        1    0.000    0.000    0.000    0.000 calendar.py:376(HTMLCalendar)
        1    0.000    0.000    0.000    0.000 plistlib.py:416(_DumbXMLWriter)
        1    0.000    0.000    0.000    0.000 selectors.py:331(PollSelector)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:391(IResourceProvider)
        1    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        1    0.000    0.000    0.000    0.000 zipfile.py:1583(PyZipFile)
        1    0.000    0.000    0.000    0.000 __init__.py:1111(Manager)
        1    0.000    0.000    0.000    0.000 arrayterator.py:20(Arrayterator)
        1    0.000    0.000    0.000    0.000 index_tricks.py:525(ndindex)
        2    0.000    0.000    0.000    0.000 threading.py:75(RLock)
       14    0.000    0.000    0.000    0.000 imp.py:107(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:2250(_MaskedPrintOption)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:2726(Requirement)
        1    0.000    0.000    0.000    0.000 utils.py:1481(WarningMessage)
        1    0.000    0.000    0.000    0.000 random.py:639(SystemRandom)
        1    0.000    0.000    0.000    0.000 selectors.py:382(EpollSelector)
        1    0.000    0.000    0.000    0.000 numbers.py:272(Rational)
        1    0.000    0.000    0.000    0.000 charset.py:167(Charset)
